Customer ID,Recency,Frequency,Monetary,Cluster,Segment
12346,1.03327417821402,0.810237201722229,1.07669944906783,3,Regular Customers
12347,0.625800285598644,0.554618356622274,1.13228868170605,2,VIP Customers
12348,0.982453320777553,0.423035857164402,1.04995757611884,1,At Risk Customers
12349,0.942081923268111,0.625800285598644,1.1584518078634,3,Regular Customers
12351,0.810237201722229,0.423035857164402,1.06596100399021,1,At Risk Customers
12352,0.810237201722229,0.554618356622274,1.07268610757432,3,Regular Customers
12353,0.943907056186028,0.423035857164402,1.06872997755993,1,At Risk Customers
12355,1.04500814899184,0.423035857164402,1.08959824797652,1,At Risk Customers
12356,0.851732346927839,0.625800285598644,1.16838593944792,0,Loyal Customers
12357,0.891821261528334,0.554618356622274,1.20649372378255,0,Loyal Customers
12358,0.810237201722229,0.625800285598644,1.1590780345309,0,Loyal Customers
12359,0.968711214153241,0.732568747710418,1.15699342834726,0,Loyal Customers
12360,0.84490704589724,0.706395054279679,1.1394244259904,0,Loyal Customers
12361,1.00132824164135,0.625800285598644,1.06929796474652,3,Regular Customers
12362,1.07684922854372,0.423035857164402,1.01911430491452,1,At Risk Customers
12366,1.060159195571,0.423035857164402,1.09073169677526,1,At Risk Customers
12368,1.05917602961924,0.423035857164402,1.11745463540757,3,Regular Customers
12369,0.952308580694242,0.625800285598644,1.1439128641794,3,Regular Customers
12370,1.05837326728565,0.625800285598644,1.11027215374348,3,Regular Customers
12371,0.945680643631524,0.625800285598644,1.15116016403516,3,Regular Customers
12373,1.05837326728565,0.554618356622274,1.10962432991395,3,Regular Customers
12374,0.96372913748031,0.625800285598644,1.15225739220375,3,Regular Customers
12376,0.895607189939859,0.554618356622274,1.09100103404573,3,Regular Customers
12377,0.85802782528634,0.554618356622274,1.14406011812198,3,Regular Customers
12378,1.04362317034645,0.423035857164402,1.13470774505784,3,Regular Customers
12379,0.965014756302866,0.554618356622274,1.10990176753822,3,Regular Customers
12380,1.0032813507728,0.753653330845511,1.19002157589511,0,Loyal Customers
12385,0.84490704589724,0.423035857164402,1.14685733913991,3,Regular Customers
12386,0.554618356622274,0.423035857164402,1.05814990566967,2,VIP Customers
12387,0.955372512799918,0.423035857164402,1.02525453747817,1,At Risk Customers
12388,0.98866440976494,0.554618356622274,1.12565493709786,3,Regular Customers
12389,0.932077249682868,0.625800285598644,1.13540937631713,3,Regular Customers
12391,1.00263834077406,0.706395054279679,1.15287836984815,0,Loyal Customers
12392,1.05112674073876,0.423035857164402,1.05293767664465,1,At Risk Customers
12393,0.863862787100884,0.554618356622274,1.11254390757198,3,Regular Customers
12395,0.753653330845511,0.672502967079056,1.14889771319298,0,Loyal Customers
12396,1.06747560063057,0.423035857164402,1.11807414798726,3,Regular Customers
12399,0.87912862186124,0.625800285598644,1.11441415671528,3,Regular Customers
12400,0.953859785790446,0.423035857164402,1.04561800875138,1,At Risk Customers
12402,0.905894483417168,0.706395054279679,1.12228191269977,0,Loyal Customers
12403,1.03038267286013,0.423035857164402,1.0984121279717,1,At Risk Customers
12404,1.0687681874899,0.423035857164402,0.971326259103661,1,At Risk Customers
12406,0.925237402907562,0.625800285598644,1.16222595874938,0,Loyal Customers
12408,0.87912862186124,0.625800285598644,1.13591725345797,3,Regular Customers
12409,0.96241498725723,0.672502967079056,1.20712103705058,0,Loyal Customers
12410,1.02273088350259,0.423035857164402,1.06914524764337,1,At Risk Customers
12411,0.945680643631524,0.423035857164402,1.07313316416472,1,At Risk Customers
12412,0.932077249682868,0.625800285598644,1.13364974425389,3,Regular Customers
12413,0.932077249682868,0.423035857164402,1.05442405730538,1,At Risk Customers
12414,1.0019873653802,0.625800285598644,1.07889578238568,3,Regular Customers
12415,0.810237201722229,0.753653330845511,1.21993545829317,0,Loyal Customers
12416,1.06441546129524,0.423035857164402,1.0448879329377,1,At Risk Customers
12417,0.947405270060277,0.810237201722229,1.16418474922395,0,Loyal Customers
12418,0.952308580694242,0.625800285598644,1.13314846393431,3,Regular Customers
12419,0.87912862186124,0.554618356622274,1.09098811846411,3,Regular Customers
12421,0.955372512799918,0.554618356622274,1.06433785095007,3,Regular Customers
12422,0.912001235290911,0.837466628755802,1.17566045207675,0,Loyal Customers
12423,0.887827694546274,0.554618356622274,1.10962602452519,3,Regular Customers
12424,0.965014756302866,0.554618356622274,1.13914085248969,3,Regular Customers
12425,0.991125924427997,0.423035857164402,1.11951107091356,3,Regular Customers
12426,1.06546001800065,0.423035857164402,1.10959211744945,1,At Risk Customers
12427,0.753653330845511,0.423035857164402,1.06639565468332,1,At Risk Customers
12429,0.423035857164402,0.706395054279679,1.17000710701438,2,VIP Customers
12431,0.786047879585602,0.829304666300179,1.17522921683326,0,Loyal Customers
12433,0.554618356622274,0.706395054279679,1.19112708706327,2,VIP Customers
12434,0.85802782528634,0.423035857164402,1.06533773109476,1,At Risk Customers
12435,0.917610260115658,0.672502967079056,1.18592957654866,0,Loyal Customers
12437,0.914863320248503,0.87912862186124,1.19328566531923,0,Loyal Customers
12439,1.0687681874899,0.554618356622274,1.12645452097028,3,Regular Customers
12440,1.00132824164135,0.554618356622274,1.11468801961564,3,Regular Customers
12441,0.554618356622274,0.423035857164402,1.03618200749426,2,VIP Customers
12443,1.0760547427666,0.423035857164402,1.08932006595596,1,At Risk Customers
12445,0.96241498725723,0.423035857164402,1.06607135348497,1,At Risk Customers
12449,0.947405270060277,0.554618356622274,1.10993651041675,3,Regular Customers
12450,0.925237402907562,0.625800285598644,1.08979942327474,3,Regular Customers
12451,1.0019873653802,0.625800285598644,1.1690820758872,3,Regular Customers
12454,0.914863320248503,0.672502967079056,1.20892597754549,0,Loyal Customers
12455,0.98866440976494,0.672502967079056,1.16695174041709,0,Loyal Customers
12457,0.979563883308144,0.423035857164402,1.10141544681688,1,At Risk Customers
12458,0.97105164486998,0.554618356622274,1.11322794973173,3,Regular Customers
